GROUP_SET,GROUP_ID,GROUP_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,SUM_TIME_PLAYED
Lineups,-203114-203468-1641731-1641774-1642273-,K. Middleton - C. McCollum - B. Coulibaly - T. Vukcevic - K. George,1610612764,WAS,2,0,2,0,5.216667,2,8,0.25,0,3,0,0,0,0,0,4,4,1,2,1,1,0,4,0,4,-12,23,47,174,47,34,78,44,128,86,48,86,89,97,89,88,27,40,71,161,22,19,1,195,117,102,214,15650
Lineups,-203114-203468-1630557-1641731-1641774-,K. Middleton - C. McCollum - C. Kispert - B. Coulibaly - T. Vukcevic,1610612764,WAS,1,0,1,0,5.133333,3,10,0.3,1,6,0.167,4,5,0.8,1,3,4,2,1,1,0,0,0,3,11,2,59,47,28,47,35,56,30,125,42,23,83,18,19,50,39,40,40,48,104,22,65,1,1,24,43,34,15400
Lineups,-1630557-1641731-1642259-1642267-1642848-,C. Kispert - B. Coulibaly - A. Sarr - B. Carrington - T. Johnson,1610612764,WAS,2,0,2,0,5.016667,2,5,0.4,1,3,0.333,6,6,1,0,4,4,2,3,0,0,1,3,4,11,-2,23,47,174,47,36,78,76,107,42,48,60,8,14,1,88,27,40,48,189,68,65,163,177,20,43,125,15050
Lineups,-1630551-1641731-1642259-1642267-1642273-,J. Champagnie - B. Coulibaly - A. Sarr - B. Carrington - K. George,1610612764,WAS,4,0,4,0,5.01,5,8,0.625,3,4,0.75,0,0,0,0,3,3,4,3,2,1,0,1,0,13,1,7,47,211,47,37,31,44,42,19,35,17,89,97,89,88,40,61,19,189,15,19,1,81,117,34,46,15030
Lineups,-203114-203468-1628963-1630551-1641731-,K. Middleton - C. McCollum - M. Bagley III - J. Champagnie - B. Coulibaly,1610612764,WAS,2,1,1,0.5,4.733333,5,9,0.556,1,4,0.25,2,2,1,2,1,3,2,2,1,1,0,1,2,13,-6,23,2,28,28,38,31,40,55,42,35,75,34,40,1,19,97,61,48,161,22,19,1,81,34,34,200,14200
Lineups,-1630264-1630551-1631103-1642364-1642860-,A. Gill - J. Champagnie - M. Branham - J. Watkins - W. Riley,1610612764,WAS,1,0,1,0,4.716667,4,8,0.5,1,3,0.333,6,6,1,1,1,2,2,2,1,0,0,3,5,15,1,59,47,28,47,39,39,44,64,42,48,60,8,14,1,39,97,87,48,161,22,65,1,177,15,28,46,14150
Lineups,-1628963-1630557-1631103-1642267-1642848-,M. Bagley III - C. Kispert - M. Branham - B. Carrington - T. Johnson,1610612764,WAS,1,0,1,0,4.7,4,8,0.5,0,2,0,2,3,0.667,1,4,5,3,2,0,0,0,0,2,10,-2,59,47,28,47,40,39,44,64,86,70,86,34,33,62,39,27,30,30,161,68,65,1,1,34,49,125,14100
Lineups,-203468-1628963-1630557-1631103-1642267-,C. McCollum - M. Bagley III - C. Kispert - M. Branham - B. Carrington,1610612764,WAS,1,0,1,0,4.583333,3,10,0.3,1,4,0.25,1,1,1,2,2,4,1,1,1,1,1,2,0,8,-3,59,47,28,47,41,56,30,125,42,35,75,64,81,1,19,65,40,71,104,22,19,163,150,117,63,150,13750
Lineups,-203468-1628963-1630557-1641731-1642273-,C. McCollum - M. Bagley III - C. Kispert - B. Coulibaly - K. George,1610612764,WAS,2,0,2,0,4.55,6,10,0.6,1,5,0.2,0,0,0,1,3,4,3,2,1,2,0,1,0,13,-1,23,47,174,47,42,21,30,43,42,27,81,89,97,89,39,40,40,30,161,22,10,1,81,117,34,107,13650
Lineups,-1630551-1641774-1642267-1642364-1642860-,J. Champagnie - T. Vukcevic - B. Carrington - J. Watkins - W. Riley,1610612764,WAS,1,0,1,0,4.533333,4,8,0.5,2,4,0.5,2,2,1,1,2,3,4,1,0,0,1,3,2,12,-3,59,47,28,47,43,39,44,64,25,35,27,34,40,1,39,65,61,19,104,68,65,163,177,34,38,150,13600
Lineups,-203468-1630557-1642259-1642267-1642848-,C. McCollum - C. Kispert - A. Sarr - B. Carrington - T. Johnson,1610612764,WAS,2,0,2,0,4.486667,6,10,0.6,4,8,0.5,0,0,0,1,4,5,4,2,0,0,0,2,0,16,5,23,47,174,47,44,21,30,43,13,18,27,89,97,89,39,27,30,19,161,68,65,1,150,117,22,11,13460
Lineups,-1642259-1642267-1642358-1642848-1642860-,A. Sarr - B. Carrington - A. Johnson - T. Johnson - W. Riley,1610612764,WAS,2,0,2,0,4.466667,6,11,0.545,2,5,0.4,2,2,1,1,3,4,6,0,1,1,0,2,3,16,6,23,47,174,47,45,21,26,58,25,27,53,34,40,1,39,40,40,16,1,22,19,1,150,24,22,7,13400
Lineups,-1630557-1642259-1642267-1642273-1642848-,C. Kispert - A. Sarr - B. Carrington - K. George - T. Johnson,1610612764,WAS,2,0,2,0,4.45,2,6,0.333,1,4,0.25,2,2,1,0,6,6,2,4,0,1,0,1,2,7,1,23,47,174,47,46,78,60,115,42,35,75,34,40,1,88,17,27,48,203,68,19,1,81,34,71,46,13350
Lineups,-203468-1628963-1630557-1642364-1642848-,C. McCollum - M. Bagley III - C. Kispert - J. Watkins - T. Johnson,1610612764,WAS,1,0,1,0,4.45,4,10,0.4,3,7,0.429,4,4,1,1,4,5,3,0,1,0,0,4,3,15,4,59,47,28,47,46,39,30,107,19,19,49,18,26,1,39,27,30,30,1,22,65,1,195,24,28,14,13350
Lineups,-203114-203468-1628963-1641715-1642848-,K. Middleton - C. McCollum - M. Bagley III - C. Whitmore - T. Johnson,1610612764,WAS,1,0,1,0,4.35,4,7,0.571,0,1,0,0,0,0,0,4,4,0,2,1,1,0,2,1,8,6,59,47,28,47,48,39,55,51,86,99,86,89,97,89,88,27,40,126,161,22,19,1,150,58,63,7,13050
Lineups,-203468-1641715-1642259-1642267-1642848-,C. McCollum - C. Whitmore - A. Sarr - B. Carrington - T. Johnson,1610612764,WAS,3,0,3,0,4.333333,4,8,0.5,0,2,0,3,3,1,0,3,3,0,1,0,1,0,2,4,11,-2,13,47,204,47,49,39,44,64,86,70,86,24,33,1,88,40,61,126,104,68,19,1,150,20,43,125,13000
Lineups,-1630557-1641715-1642267-1642273-1642848-,C. Kispert - C. Whitmore - B. Carrington - K. George - T. Johnson,1610612764,WAS,1,0,1,0,4.283333,3,8,0.375,0,4,0,0,0,0,1,4,5,3,4,0,2,0,0,2,6,-4,59,47,28,47,50,56,44,113,86,35,86,89,97,89,39,27,30,30,203,68,10,1,1,34,78,170,12850
Lineups,-203114-203468-1628963-1630557-1641715-,K. Middleton - C. McCollum - M. Bagley III - C. Kispert - C. Whitmore,1610612764,WAS,1,0,1,0,4.166667,4,15,0.267,1,3,0.333,0,0,0,2,2,4,1,0,1,1,3,2,0,9,-5,59,47,28,47,51,39,21,127,42,48,60,89,97,89,19,65,40,71,1,22,19,210,150,117,55,184,12500
Lineups,-1630264-1630551-1641774-1642358-1642860-,A. Gill - J. Champagnie - T. Vukcevic - A. Johnson - W. Riley,1610612764,WAS,1,0,1,0,4.083333,2,10,0.2,0,2,0,0,0,0,3,3,6,0,1,0,0,3,1,0,4,-7,59,47,28,47,52,78,30,136,86,70,86,89,97,89,14,40,27,126,104,68,65,210,81,117,102,204,12250
Lineups,-1630557-1641715-1642259-1642273-1642848-,C. Kispert - C. Whitmore - A. Sarr - K. George - T. Johnson,1610612764,WAS,1,0,1,0,4.05,6,8,0.75,4,4,1,0,0,0,0,5,5,3,1,0,2,1,2,1,16,3,59,47,28,47,53,21,44,22,13,35,1,89,97,89,88,21,30,30,104,68,10,163,150,58,22,22,12150
Lineups,-1641774-1642358-1642364-1642848-1642860-,T. Vukcevic - A. Johnson - J. Watkins - T. Johnson - W. Riley,1610612764,WAS,1,0,1,0,3.983333,4,7,0.571,1,3,0.333,3,5,0.6,1,3,4,2,2,0,1,1,2,3,12,0,59,47,28,47,54,39,55,51,42,48,60,24,19,69,39,40,40,48,161,68,19,163,150,24,38,62,11950
Lineups,-203468-1630557-1641774-1642848-1642860-,C. McCollum - C. Kispert - T. Vukcevic - T. Johnson - W. Riley,1610612764,WAS,2,1,1,0.5,3.783333,5,9,0.556,2,6,0.333,0,1,0,0,4,4,2,1,1,2,0,1,1,12,4,23,2,28,28,55,31,40,55,25,23,60,89,81,89,88,27,40,48,104,22,10,1,81,58,38,14,11350
Lineups,-1630557-1641715-1641774-1642267-1642848-,C. Kispert - C. Whitmore - T. Vukcevic - B. Carrington - T. Johnson,1610612764,WAS,2,0,2,0,3.708333,3,8,0.375,2,5,0.4,0,0,0,1,2,3,3,1,0,0,0,2,1,8,-5,23,47,174,47,56,56,44,113,25,27,53,89,97,89,39,65,61,30,104,68,65,1,150,58,63,184,11125
Lineups,-1630551-1641774-1642358-1642848-1642860-,J. Champagnie - T. Vukcevic - A. Johnson - T. Johnson - W. Riley,1610612764,WAS,1,0,1,0,3.666667,4,9,0.444,1,3,0.333,1,1,1,1,2,3,2,0,0,0,2,1,1,10,1,59,47,28,47,57,39,40,97,42,48,60,64,81,1,39,65,61,48,1,68,65,199,81,58,49,46,11000
